0,0,0,0,0.8,0,0,0,0
0,0,2.5,2.5,3.8,2.8,2.8,0,0
0,1.3,2.3,0,4.1,0,2.1,1.2,0
0,0,2.2,0,0,0,2,0,0
0,1.1,2.1,2,2,2,2.1,0.8,0
0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1.3,0,1.1,0,1,0,1.1,0,1
1,0,1.1,3,3,3,1.1,0,1
0.8,0,1.1,3,3,3,1.1,0,1
0.8,0,1.1,0,1,0,1.1,0,1
2,2,2,2,2,2,2,2,2
0.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.2
0.2,0.2,1.8,1.5,0,1.3,1.5,0,0.2
0.2,0,2.8,0,0,0,2.5,0.2,0.2
0.2,0.2,3.8,0,8.2,0,3.5,0,0.2
0.2,0,4.8,5.8,6.8,5.5,4.5,0.2,0.2
0.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.2
0,0,0,0,0,0,0,2,4
0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0
0,1.2,0,0,0,0,0,1.2,0
0,1.2,0,0,0,0,0,1.2,0
0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0
0,0,0,0,0,0,0,0,0
